player_name,team,age,cap_hit,years_remaining
Zakhar Bardakov,COL,25,867500,1
Parker Kelly,COL,26,825000,1
Cale Makar,COL,27,9000000,2
Devon Toews,COL,32,7250000,6
Josh Manson,COL,34,4500000,1
Brett Kulak,COL,32,2750000,1
Sam Malinski,COL,27,1400000,1
Brent Burns,COL,41,1000000,1
Nick Blankenburg,COL,27,775000,1
Mackenzie Blackwood,COL,29,5250000,5
Scott Wedgewood,COL,33,1500000,1
Gavin Brindley,COL,21,950000,1
Taylor Makar,COL,25,925000,1
Chase Bradley,COL,24,872500,1
Cooper Gay,COL,24,872500,2
Ivan Ivan,COL,23,845000,1
Nikita Prishchepov,COL,22,806667,2
Matt Stienburg,COL,25,775000,1
Tye Felhaber,COL,27,775000,1
Danil Gushchin,COL,24,775000,1
Tristen Nielsen,COL,26,775000,2
T.J. Tynan,COL,34,775000,1
Alex Barré-Boulet,COL,28,775000,1
Valtteri Puustinen,COL,26,775000,1
Jason Polin,COL,26,775000,1
Matthew DiMarsico,COL,22,980000,2
Alex Gagne,COL,23,910000,2
Sean Behrens,COL,23,905833,2
Saige Weinstein,COL,20,783333,3
Ronnie Attard,COL,27,775000,1
Wyatt Aamodt,COL,28,775000,2
Jack Ahcan,COL,28,775000,1
Keaton Middleton,COL,28,775000,2
Jacob MacDonald,COL,33,775000,1
Gustav Stjernberg,COL,23,980000,2
Ilya Nabokov,COL,23,975000,2
Isak Posch,COL,24,872500,2
Trent Miner,COL,25,775000,2
Louka Cloutier,COL,19,,
Jake Fisher,COL,21,,
Mikhail Gulyayev,COL,20,,
Christian Humphreys,COL,20,,
Nikita Ishimnikov,COL,20,,
Tory Pitner,COL,20,,
Chris Romaine,COL,22,,
Shamil Shmakov,COL,26,,
Ivan Yunin,COL,19,,
Sampo Ranta,COL,25,,
Francesco Dell'Elce,COL,20,,
Linus Funck,COL,18,,
Nolan Roed,COL,20,,
Sean Monahan,CBJ,31,5500000,4
Charlie Coyle,CBJ,34,5250000,1
